,Unit,Islam- abad,Rawal- pindi,Gujran- wala,Sialkot,Lahore,Faisal- abad,Sar- godha,Multan,Baha- walpur,Karachi,Hyder- abad,Sukkur,Larkana,Pesha- war,Bannu,Quetta,Khuz- dar,Average Prices July 17,Average Prices June 17,Average Prices July 16,% change July 17 over June 17,% change July 17 over July 16
Wheat,10 Kg,332.5,332.5,325,325,323.69,320,287.5,297.5,298.75,350,310,312.5,312.5,330,313.75,350,350,321.83,323.68,327.85,-0.57,-1.8
"Wheat Flour, Bag",10 Kg,376.41,371.2,362.5,357.5,365,352.5,312.5,336.25,357.5,409.9,411.25,350,345,364.17,366.25,400,375,365.47,366.76,374.13,-0.35,-2.3
"Rice Basmati Broken, (AQ)",1 Kg,89.38,83.33,50,55,73.21,80,60,77.5,55,73.99,75,65,68.63,73.33,51,85,60,69.14,68.76,60.27,0.55,14.7
Rice Irri-6 (Punjab/Sindh),1 Kg,60,52.71,50,47.5,57,57.5,50,40,47.5,44.63,45,52.5,36,47.29,60,50,50,49.86,49.68,47.04,0.36,5.9
"Bread Plain, Medium Size",Each,40,40,40,40,40,40,40,45,45,45,44,50,45,35,35,40,35,41.12,41.12,40.94,0,0.4
"Beef With Bone, (AQ)",1 Kg,352.5,350,300,300,344.29,350,320,350,325,394.43,328.75,325,310,317.08,320,400,320,335.71,335.01,323.41,0.21,3.8
"Mutton, Average Quality",1 Kg,823.13,807.5,650,650,805.36,700,700,700,625,767.79,706.25,662.5,687.5,662.5,570,700,575,693.68,687.71,644.67,0.87,7.6
"Chicken Farm, Broiler, Live",1 Kg,157.53,140.78,139,144.5,133,138.88,144.38,145.42,134,157.41,144.38,167.5,137.5,161,169.38,172.5,187.5,151.45,152.69,146.27,-0.81,3.5
"Milk, Fresh, Unboiled",1 Ltr,99.54,96.25,80,70,77.21,80,70,81.88,67.5,85,84,80,80,85,80,90,80,81.55,81.39,79.82,0.2,2.1
Curd (Dahi),1 Kg,113.91,107.92,100,80,83.04,95,90,92.08,80,130,117.5,95,95,97.5,87.5,100,90,97.32,97.05,93.41,0.28,4.1
"Powdered Milk, Nido, Polybag",400 gm,374.37,374.37,374.36,374.36,372.7,389.74,369.23,374.36,374.37,358.97,369.23,358.97,346.66,364.58,358.97,389.74,364.49,369.97,363.7,383.11,1.72,-3.4
"Eggs Hen, Farm",Dozen,102.6,97.06,99.38,100,95,95,98.25,91.71,95,100.65,97.66,99,85.5,100.25,98.13,91.25,82.5,95.82,90.41,87.07,5.98,10
"Mustard Oil, Average Quality",1 Kg,240,220,150,160,183.93,200,175,177.5,170,170.77,150,137.5,190,220,188.75,190,170,181.97,181.45,180.46,0.29,0.8
"Cooking Oil, Tin, (SN)",2.5 Ltr,475,475,475,467,476.25,470,475,475,460,466.5,465,468,460,470,475,445,495,470.16,469.59,454.35,0.12,3.4
"Vegetable Ghee, Tin, (SN)",2.5 Kg,470,470,470,452,467.5,465,470,470,455,456.5,460,453,450,460,470,440,495,463.18,462.53,445.12,0.14,4
"Veg. Ghee, Loose/Pouch, (SN)",1 Kg,151.25,147.5,140,140,142.25,133.38,140,149.25,149.25,145.77,175,145,130,158.33,160,130,130,145.12,144.77,138.2,0.24,5
Bananas,Dozen,149.53,108.34,98.75,100,110.18,63.75,72.5,96.67,100,68.99,74.38,87.5,97.5,83.34,121.25,85,73.75,93.61,115.4,95.68,-18.88,-2.1
"Pulse Masoor, Washed",1 Kg,148.6,133.6,140,160,138.93,127.5,155,103.33,117.5,112.4,113.44,110,96.25,100.23,121.25,112.5,140,125.33,127.41,152.22,-1.63,-17.6
"Pulse Moong, Washed",1 Kg,150.79,129.48,120,140,126.61,125.94,120,112.5,120,119.47,128.13,135,140,101.38,98.13,135,145,126.32,127.94,157.68,-1.27,-19.8
"Pulse Mash, Washed",1 Kg,203.13,179.58,195,180,229.46,208.75,225,165,185,182.41,166.25,175,170,171.04,193.75,192.5,230,191.29,193.24,273.09,-1.01,-29.9
"Pulse Gram, Washed",1 Kg,149.53,134.27,110,110,126.7,110,115,112.5,123.75,131.54,122.19,135,118.13,122.59,120,140,140,124.78,129.08,151.63,-3.33,-17.7
Potatoes,1 Kg,51.25,46.25,40,40,39.24,60,30,39.38,37.5,34.52,35,30.63,29.5,38.33,32.5,30,38.5,38.39,38.07,35,0.84,9.6
Onions,1 Kg,45,38.75,35,35.63,35.63,29.38,25,31.04,30,30.96,31.25,25,29.63,32.92,30.63,28.75,23,31.62,29.02,31.32,8.96,0.9
Tomatoes,1 Kg,58.6,49.06,51.25,48.75,52.68,48.75,45,42.71,41.25,46.01,37.35,41.25,38.13,39.17,28.75,32.5,30,43.01,44.4,68.84,-3.13,-37.5
"Sugar, Refined",1 Kg,61.31,57.26,54.75,54.5,56.97,53.5,53.75,52.5,55.5,57.52,53.58,50.88,55,54.5,54.13,55,55,55.04,56.48,67.34,-2.55,-18.2
"Gur, Average Quality",1 Kg,109.38,98.33,80,85,93.21,75,80,70,63.75,88.65,81.25,71.25,75.38,95,95,92.5,80,84.34,84.27,90.02,0.08,-6.3
"Salt Powder, Loose, Lahori",1 Kg,12,12,10,10,10,10,10,10,12,12,12,10,10,10,12,10,10,10.71,10.71,10.47,0,2.2
"Red Chilly Powder, Loose",1 Kg,300,254.17,240,250,220,268.75,288.75,238.54,225,295.48,265,250,240,242.92,274.69,310,300,262.55,263.54,279.32,-0.38,-6
Garlic,1 Kg,256.1,213.33,223.75,207.5,215.18,192.5,150,195,185,205.39,166.25,170,160,187.92,276.25,215,225,202.6,212.3,227.62,-4.57,-10.9
"Tea, Lipton Yellow Label, Packet",200 gm,205.26,205.26,205.26,205.26,205.26,205.26,205.26,205.26,205.26,205.26,205.26,205.26,205.26,205,205.26,205.26,178.94,203.7,203.7,157.9,0,29
"Cooked Beef, Average Hotel",Plate,107.5,104.17,62.5,62.5,102.86,75,100,80,75,92.69,77.5,100,100,120,100,90,140,93.51,93.51,91.06,0,2.6
"Cooked Daal, Average Hotel",Plate,78.75,75.83,40,40,67.32,47.5,45,40,50,61.15,52.5,50,65,60,50,65,80,56.94,56.94,55.52,0,2.5
"Tea Prepared, Average Hotel",Cup,22.5,22.5,20,20,20,22.5,20,20,18.75,21.73,20,25,27.5,15,20,21,20,20.97,20.75,19.63,1.06,6.8
"Cigarettes, K-2, 20's",Packet,50,50,50,50,50,50,50,50,48,55,50,50,50,55,55,50,50,50.76,56.52,63.71,-10.19,-20.3
"Long Cloth, 57"", (SN)",1 mtr,215,205,137.5,135,267.5,237.5,245,250,180,170.77,240,230,200,333.33,157.5,210,195,212.3,209.97,205.57,1.11,3.2
"Shirting, (AQ), (SN)",1 mtr,206.25,190,175,175,155,125,145,210,115,166.15,140,120,157.5,300,147.5,160,190,169.26,168.06,164.3,0.71,3
"Lawn Printed, (SN)",1 mtr,240,220,205,205,305,240,360,150,169,415,280,280,366.66,360,187.5,200,165,255.77,255.77,251.21,0,1.8
"Georgette, (AQ), (SN)",1 mtr,155,152.5,132.5,130,135,160,135,105,110,121.54,120,125,130,120,100,105,95,125.38,125.22,123.54,0.13,1.4
"Gents Sandal, Bata",Pair,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,0,0
"Gents Chappal Spng, Bata",Pair,179,179,179,179,179,179,179,179,179,180.54,179,179,179,179,179,179,179,179.09,179.09,179.09,0,0
"Ladies Sandal, Bata",Pair,499,499,499,499,499,499,499,499,549,506.69,499,499,499,499,499,499,499,502.39,502.39,502.39,0,0
"Elec. Charges, Upto 50 Units",Unit,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0
"Gas Charges, Upto 3.3719 MMBTU",MMBT,128.7,128.7,128.7,128.7,128.7,128.7,128.7,128.7,128.7,128.7,128.7,128.7,128.7,128.7,128.7,128.7,,128.7,128.7,128.33,0,0.2
Kerosene Oil,1 Ltr,98.75,95,75,77,95,69,75,70,71,97.12,81,68.25,90,86.67,85,56,50,78.81,78.81,74.87,0,5.2
Firewood Whole,40 Kg,787.5,741.67,675,650,762.86,600,500,606.67,625,644.23,550,400,450,710.42,495,650,500,608.73,609.09,597.4,-0.06,1.9
Energy Saver,Each,167.5,167.5,155,155,170,162.5,175,165,175,170,190,155,175,180,160,180,150,167.79,167.79,167.79,0,0
"Washing Soap, (Nylon), (SN)",Cake,25,25,16,20,40,25,40,22,20,14,25,26,30,20,22.5,30,40,25.91,25.91,25.03,0,3.5
"Match Box, Regular",Each,2,2,2,2,2,2.5,3,2,2.5,2,2,2.5,2.5,2,3,2,1.5,2.21,2.21,2.09,0,5.7
"Petrol, Super",1 Ltr,71.57,71.57,71.71,72.7,71.66,71.7,71.82,71.6,72.7,71.57,72,71.2,72,71.57,73.9,71.68,73.7,72.04,73.31,65.12,-1.73,10.6
Hi Speed Diesel (HSD),1 Ltr,80.21,80.21,80.35,81.4,80.26,80.41,80.48,80.2,81.6,80.19,80.81,80.57,80.6,80.2,82.6,80.21,83,80.78,82.26,73.44,-1.8,9.9
"LPG Cylinder, 11kg",Each,1030,1000,838.75,948.75,880,993.75,962.5,907.5,1017.5,880,1017.5,1072.5,1067,1072.5,915,1100,1025,984.01,987.09,913.12,-0.31,7.7
Telephone Local Call,P/Call,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,0,0
