,Unit,Islam- abad,Rawal- pindi,Gujran- wala,Sialkot,Lahore,Faisal- abad,Sar- godha,Multan,Baha- walpur,Karachi,Hyder- abad,Sukkur,Larkana,Pesha- war,Bannu,Quetta,Khuz- dar,Average Prices Jun 19,Average Prices May 19,Average Prices Jun 18,%change Jun 19 over May 19,%change Jun 19 over Jun 18
Wheat,10 Kg,372.5,372.5,375,337.5,347.5,355,329.38,345.63,357.5,387.5,351.25,337.5,326.88,398.75,381.25,360,350,357.98,347.88,326.16,2.9,9.76
"Wheat Flour, Bag",10 Kg,427.11,420.63,417.5,405,402.5,407.5,377.5,397.5,417.5,457.46,431.72,418.75,403.75,423.13,426.25,423.75,382.5,414.12,395.17,361.47,4.8,14.57
"Rice Basmati Broken, (AQ)",1 Kg,96.88,89.38,70,70,74.82,90,68.75,88.33,60,85.87,85,65,90,84.17,53.75,105,80,79.82,79.26,74.51,0.71,7.13
Rice Irri-6 (Punjab/Sindh),1 Kg,66.25,65,60,47.5,57,65,70,53.33,47.5,60.52,51,55,43.5,58.75,62.5,82.5,56.25,58.92,58.61,53.22,0.53,10.71
"Bread Plain, Medium Size",Each,45,45,45,40,48.57,45,45,47.5,48.75,48.85,50,50,45,45,35,45,40,45.22,44.43,42.56,1.78,6.25
"Beef With Bone, (AQ)",1 Kg,487.5,482.4,393.75,450,423.48,387.5,400,396.67,365,500.87,422.5,400,400,384.17,350,390,400,413.76,408.03,366.92,1.4,12.77
"Mutton, Average Quality",1 Kg,1002.03,985.32,875,900,923.21,950,893.75,850,725,915.63,818.75,762.5,825,825,700,850,750,855.95,844.79,772.74,1.32,10.77
"Chicken Farm, Broiler, Live",1 Kg,162.97,150.21,149,156.5,149.42,148,150,160.21,149.5,176.32,169.38,171.25,155,161.5,190.25,191.25,225,165.63,185.05,198.58,-10.49,-16.59
"Milk, Fresh, Unboiled",1 Ltr,107.19,102.71,90,80,78,90,70,83.54,67.5,94.88,94,92.5,95,98.33,85,110,87.5,89.77,88.75,84.8,1.15,5.86
Curd (Dahi),1 Kg,120.94,112.92,100,90,92.5,99.38,90,99.59,80,142.79,135,102.5,102.5,110,100,120,97.5,105.62,104.42,101.45,1.15,4.11
"Powdered Milk, Nido, Polybag",400 gm,410.26,410.26,410.26,410.26,410,405,416,410.25,410,400,430.76,410.25,425,403.33,410.25,420,400,411.29,411.05,385.12,0.06,6.8
"Eggs Hen, Farm",Dozen,86.33,78.7,82.5,85,79.47,79.38,80.5,75.63,81.5,80.09,81.88,81.5,75,86.88,100,96.25,120,85.33,85.52,89.11,-0.22,-4.24
"Mustard Oil, Average Quality",1 Kg,246.25,241.67,170,160,187.86,220,190,184.17,170,185.96,163.75,150,227.5,233.33,177.5,210,200,195.18,194.26,185.59,0.47,5.17
"Cooking Oil, Tin, (SN)",2.5 Ltr,535,535,550,520,530,527.5,520,545,545,545,525,510,535,513,521.25,525,460,525.99,522.85,476.88,0.6,10.3
"Vegetable Ghee, Tin, (SN)",2.5 Kg,505,505,520,500,520,507.5,495,515,515,515,515,490,520,495,495,520,455,505.15,501.53,471.41,0.72,7.16
Vegetable Ghee (Loose),1 Kg,162.5,162.08,157.5,156.25,164,152,155.75,165.34,167.5,167.17,200,145,142.5,176.67,178.75,196.25,125,163.19,160.98,149.09,1.37,9.46
Bananas,Dozen,156.25,136.04,121.25,115,113.58,115,83.75,121.25,140,88.13,87.5,100,108.75,105,137.5,122.5,86.88,114.02,115.83,119.28,-1.56,-4.41
"Pulse Masoor, Washed",1 Kg,133.75,118.15,150,150,133.93,135,140,114.17,120,111.25,103.13,110,105,100.33,115,140,120,123.51,122.96,111.04,0.45,11.23
"Pulse Moong, Washed",1 Kg,175.63,168.82,158.75,165,160,166.25,176.25,165,167.5,165.77,157.5,165,148.75,155,167.5,177.5,145,163.84,154.73,112.7,5.89,45.38
"Pulse Mash, Washed",1 Kg,186.88,174.92,179.38,185,168.48,177.5,190,165,167.5,163.22,158.44,165,156.25,181.67,160,210,125,171.43,164.15,147.4,4.43,16.3
"Pulse Gram, Washed",1 Kg,143.13,133.9,115.63,112.5,120.71,120,115,119.17,130,130.48,121.88,125,119.38,130,120,160,140,126.87,126.95,113.36,-0.06,11.92
Potatoes,1 Kg,42.97,37.4,35,30,34.38,29.38,23.75,35,25,34.4,32.66,30,30,29.38,32.5,28.75,32.5,31.95,26.82,30.65,19.13,4.24
Onions,1 Kg,64.38,56.98,54.38,55,54.56,53.13,46.25,50.83,47.5,50.29,50.47,47.5,46.88,50.63,55,53.75,58.75,52.72,55.81,32.83,-5.54,60.58
Tomatoes,1 Kg,56.1,46.46,45,45,42.68,46.25,36.88,45.63,51.25,61.73,52.35,51.25,55.63,36.46,42.5,50,45,47.66,47.77,42.55,-0.23,12.01
"Sugar, Refined",1 Kg,75.6,72.37,71.44,70,71.77,71,69.5,68.21,69.75,70.03,68.88,67.75,68.88,72.44,70,76.5,70,70.83,67.99,53.69,4.18,31.92
"Gur, Average Quality",1 Kg,118.75,102.5,110,110,111.07,108.75,90,99.17,92.5,107.89,113.6,97.5,95.63,100.42,88.44,100,96.88,102.54,97.52,79.34,5.15,29.24
"Salt Powder, Loose, Lahori",1 Kg,12,12,15,15,20.54,10,10,10,12,12.62,15,10,10,15,12,10,10,12.42,12.42,11.59,0,7.16
"Red Chilly Powder, Loose",1 Kg,397.5,355,330,320,327.86,365,400,323.33,310,392.89,385,365,277.5,351.67,330,390,290,347.69,349.39,315.96,-0.49,10.04
Garlic,1 Kg,295.94,242.4,232.5,230,207.86,207.5,202.5,202.92,190,213.85,195,197.5,172.5,264.17,195,232.5,210,217.18,207.04,125.24,4.9,73.41
"Tea, Lipton Yellow Label, Packet",200 gm,221.05,221.05,221.05,221.05,221.05,221.05,221.05,221.05,221,221.05,221.05,221.05,221.05,221.05,221.05,221.05,195,219.51,219.51,201.22,0,9.09
"Cooked Beef, Average Hotel",Plate,128.13,117.5,145,150,131.43,155,120,105,125,100.48,95,100,100,120,105,90,196.25,122.58,121.65,110.85,0.76,10.58
"Cooked Daal, Average Hotel",Plate,85,75.83,55,60,67.32,60,50,46.25,60,65.62,60,70,65,60,50,75,87.5,64.27,64.19,61.38,0.12,4.71
"Tea Prepared, Average Hotel",Cup,25.31,25,25,21.25,24.11,25,25,23.33,22.5,24.42,30,25,30,20,20,21,20,23.94,23.86,21.48,0.34,11.45
"Cigarettes, K-2, 20's",Packet,72.5,72.5,65,65,65,70,67.5,70,70,65.1,60,72.5,69.5,72.5,77.5,55,67.5,68.06,59.72,51.18,13.97,32.98
Long Cloth,1 mtr,245,235,180,180,295,237.5,275,300,260,200,300,375,300,350,422.5,550,250,291.47,288.65,231.23,0.98,26.05
Shirting,1 mtr,235.63,225,200,200,165,135,170,250,125,183.85,140,175,200,321,180,160,170,190.32,188.89,178.34,0.76,6.72
Lawn,1 mtr,260,240,245,250,337.5,280,393.34,200,383.5,421.54,280,393,366,393,463,500,250,332.7,332.7,281.28,0,18.28
Georgette,1 mtr,175,173.75,175,160,145,165,150,105,110,123.85,120,150,160,123.33,100,105,150,140.64,139.93,131.49,0.51,6.96
Sandal Bata (Gents),Pair,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,0,0
Chappal Spounge Bata (Gents),Pair,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,0,0
Sandal Bata (Ladies),Pair,599,599,599,599,599,599,599,599,599,599,599,599,599,599,599,599,599,599,599,599,0,0
"Elec. Charges, Upto 50 Units",Unit,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0
"Gas Charges, Upto 3.3719 MMBTU",MMBTU,145.08,145.08,145.08,145.08,145.08,145.08,145.08,145.08,145.08,145.08,145.08,145.08,145.08,145.08,145.08,145.08,,145.08,145.08,128.7,0,12.73
Kerosene Oil,1 Ltr,151.25,143.75,135,144,130,130,120,126.88,140,141.39,130,127.5,147.5,132.33,120,111,97.5,131.06,128.95,119.29,1.64,9.87
Firewood Whole,40 Kg,787.5,741.67,775,700,810.71,600,550,708.33,650,661.54,600,400,500,729.17,500,650,625,646.41,645.82,626.25,0.09,3.22
Energy Saver (14 watts),Each,167.5,167.5,170,155,170,165,180,165,175,180,200,155,180,190,170,180,150,171.76,171.76,171.18,0,0.34
"Washing Soap, (Nylon), (SN)",Cake,30,30,40,45,45,30,45,22,20,14,30,28,30,20,25,40,40,31.41,31.41,27.74,0,13.23
"Match Box, Regular",Each,2,2,2,2,3,2.5,3,3,2.5,3,3,2.5,3,2,3,2,1.5,2.47,2.47,2.32,0,6.47
"Petrol, Super",1 Ltr,113.18,113.18,113.2,114.8,113.01,113.28,113.2,113.42,114.1,113.16,114.12,113.15,113.3,113.2,115.4,113.1,116.8,113.74,107.36,91.75,5.94,23.97
Hi Speed Diesel (HSD),1 Ltr,127.3,127.32,127.3,128.5,127.17,127.3,127.4,127.48,128.5,127.29,128.05,127.3,127.5,127.3,129.9,127.2,130.22,127.83,122.19,104.57,4.62,22.24
"LPG Cylinder, 11kg",Each,1352.5,1330,1127.5,1149.75,1113.75,1150,1100,1109.38,1210,1222.16,1210,1402.5,1347.5,1292.5,1118.75,1262.5,1400,1229.34,1296.17,1270.59,-5.16,-3.25
Telephone Local Call,P/Call,4.65,4.65,4.65,4.65,4.65,4.65,4.65,4.65,4.65,4.65,4.65,4.65,4.65,4.65,4.65,4.65,4.65,4.65,4.65,3.94,0,18.02
Each,40,40,41.5,40,40,42,42,40,42.25,42.25,42.25,42.25,40,40,40,42,42,41.09,40.47,39.19,1.53,4.85,
"Cement (Local), SN",50 Kg,552.5,550,539.38,545,543.75,540,527.5,541.75,563.75,640.68,652.5,642.5,638.75,538.75,537.5,575,550,569.37,,,,
Carpenter Wage Rate,Daily,1437.5,1437.5,950,1100,1112.5,900,1200,1100,900,1403.85,1200,1000,900,1000,1250,1100,1400,1140.67,,,,
Mason (Raj) Wage Rate,Daily,1437.5,1437.5,1450,1450,1175,1200,1200,1100,1050,1488.46,1200,1000,1100,1200,1400,1400,1200,1264.03,,,,
Unskilled Labour Wage Rate,Daily,925,925,800,950,850,750,700,600,600,988.46,700,487.5,487.5,600,600,900,600,733.14,,,,
Plumber Wage Rate,Daily,1437.5,1437.5,800,1200,1075,800,1300,1100,900,1442.31,1200,1000,1100,1200,950,1000,1400,1137.78,,,,
Electrician Charges,P/Point,220,215,140,160,180,115,145,100,120,211.54,150,87.5,135,100,96.25,170,102.5,143.99,,,,
CNG,1 Kg,87.29,87.28,86.95,85.2,87.13,86.9,87.99,87.6,88.45,104,104,104,104,117.9,119.9,112.9,,96.97,,,,
Sona Urea,50 Kg,,1855,1860,,1830,1850,1885,1830,1850,,1937.5,1850,1850,1925,1860,1912.5,,1868.85,,,,
Kissan Urea,50 Kg,,1815,,,1830,1850,1850,1807.5,1845,,,1825,,1852.5,,,1970,1849.44,,,,
Calc. Amonium Nitrate,50 Kg,,1687.5,1750,,1630,1712.5,1775,1630,1772.5,,1812.5,1690,1500,,,,,1696,,,,
"S.S Phosphate, Gr. 18%",50 Kg,,,1025,,1025,950,1012.5,882.5,1300,,975,,1100,1000,,,,1030,,,,
"S.S Phosphate, Pd. 18%",50 Kg,,,,,,,,,,,,,,,,,,0,,,,
"Triple Sup. Phosph., Gr",50 Kg,,,,,,,,,,,,,,,,,,0,,,,
Sulphate of Potash,50 Kg,,,4200,,4500,4687.5,4025,4300,4600,,,,3800,4425,,,,4317.19,,,,
Nitro. Phosphate,50 Kg,,,2850,,2820,2787.5,2800,2750,2750,,2825,2740,2860,2850,,,,2803.25,,,,
DIA Amun. Phosphate,50 Kg,,3587.5,3500,,3600,3600,3600,3500,3550,,3537.5,3412.5,3410,3600,3700,3600,,3553.65,,,,
Nitro. Phosph. & Pot. (Npk),50 Kg,,2900,,,3050,3000,2937.5,2850,2950,,,,2787.5,3075,3000,3100,,2965,,,,
