Description,Unit,Islam- abad,Rawal- pindi,Gujran- wala,Sialkot,Lahore,Faisal- abad,Sar- godha,Multan,Baha- walpur,Karachi,Hyder- abad,Sukkur,Larkana,Pesha- war,Bannu,Quetta,Khuz- dar,Average Prices Mar 18,Average Prices Feb 18,Average Prices March 17,%change Mar 18 over Feb 18,%change Mar 18 over Mar 17
Wheat,10 Kg,342.5,342.5,337,355,347.53,325,325,324,336.25,378,327,337.5,325,360,350,350,350,341.9,341.62,349.63,0.08,-2.21
"Wheat Flour, Bag",10 Kg,387.13,379,378,378,390,380,342.5,364,380,437.54,419,369,369,382.5,400,400,375,384.16,385.91,386.74,-0.45,-0.67
"Rice Basmati Broken, (AQ)",1 Kg,89.38,83.33,65,63,74.82,95,60,87.5,55,80,81.56,65,75,82.33,50,90,60,73.94,73.49,65.19,0.61,13.42
Rice Irri-6 (Punjab/Sindh),1 Kg,60,52.71,60,47.5,57,60,70,40,47.5,52.12,45,52.5,34.9,47.5,57.5,50,50,52.01,52.29,49.4,-0.54,5.28
"Bread Plain, Medium Size",Each,45,45,40,40,44.29,45,45,45,45,45.19,44,50,45,35,35,40,35,42.56,42.56,41.12,0,3.5
"Beef With Bone, (AQ)",1 Kg,388.25,369.84,300,300,381.96,350,350,356.67,350,425.77,372,325,310,337.67,320,400,320,350.42,348.45,331.77,0.57,5.62
"Mutton, Average Quality",1 Kg,877.25,869.58,650,650,844.64,800,775,775,725,823.08,760,725,725,738.33,575,725,625,744.88,739.73,672.5,0.7,10.76
"Chicken Farm, Broiler, Live",1 Kg,171.7,154.88,157.6,163.6,158.4,165.2,165,173,163.2,167.63,161,178,163,174.33,196,171,187,168.86,165.36,172.7,2.12,-2.22
"Milk, Fresh, Unboiled",1 Ltr,102.5,96.25,80,80,77.21,80,70,82.5,67.5,85,84,80,80,85,82.5,90,80,82.5,82.5,80.82,0,2.08
Curd (Dahi),1 Kg,116.25,107.92,100,90,90,95,90,97.5,80,130,120,95,95,98.33,90,100,90,99.12,98.82,94.76,0.3,4.6
"Powdered Milk, Nido, Polybag",400 gm,389.74,389.74,389.74,379.49,392,389.74,379.48,389.74,389.7,379.49,379.48,389.74,389.74,370,365,389.74,380,384.27,383.08,373.93,0.31,2.77
"Eggs Hen, Farm",Dozen,96.19,90.53,90,98,89,88.1,90,86.67,89.5,99.98,99.98,99,89,97.33,100,120,87,94.72,101,90.15,-6.22,5.07
"Mustard Oil, Average Quality",1 Kg,240,231.67,160,160,183.93,200,175,184.17,170,184.62,150,141,190,220,165,190,175,183.55,184.08,181.81,-0.29,0.96
"Cooking Oil, Tin, (SN)",2.5 Ltr,474,477,475,467,480,475,475,471,477,478,475,468,460,470,480,445,460,471,469.07,466.07,0.41,1.06
"Vegetable Ghee, Tin, (SN)",2.5 Kg,469,471,470,452,470,470,470,466,472,473,473,453,450,470,470,440,455,464.35,462.14,459.24,0.48,1.11
"Veg. Ghee, Loose/Pouch, (SN)",1 Kg,151.87,147.75,140,140,144.36,137,136,154.4,154,150.58,177,145,130,159.5,160,130,120,145.73,145.53,145.72,0.14,0.01
Bananas,Dozen,147.25,112.75,80,80,96.57,65,71,88.33,75,74.73,66,72,57,83,87.5,71,52,81.13,77.27,82.37,5,-1.51
"Pulse Masoor, Washed",1 Kg,128.75,110.42,140,160,128.93,115,155,101.83,110,104.08,97.5,110,100,86.53,100,123,91,115.41,118.26,130.04,-2.41,-11.25
"Pulse Moong, Washed",1 Kg,133.13,127.08,113,110,118.93,110,110,100,114,121,115.88,125,111,102.5,105,155,104,116.21,118.09,130.12,-1.59,-10.69
"Pulse Mash, Washed",1 Kg,167.63,145.83,160,158,186.43,155,175,128.17,135,124.92,125.38,125,118,128.1,122.5,185,230,151.17,154.94,188.72,-2.43,-19.9
"Pulse Gram, Washed",1 Kg,133.75,123.33,98.75,101,113.93,105,105,103.33,120,121.69,116.63,120,104,116.77,102.5,145,120,114.75,117.04,129.96,-1.96,-11.7
Potatoes,1 Kg,38,29.67,21,22,24.71,19,18,21,20,24.06,21.25,20,21,28.67,21.5,30,27.8,23.98,26.99,28.77,-11.15,-16.65
Onions,1 Kg,47.88,39.16,34,32.5,31.29,27.75,25.5,30,32.5,28.08,25.81,26.5,38,42.67,36.5,35,29.8,33.11,43.03,33.5,-23.05,-1.16
Tomatoes,1 Kg,49.25,40.83,38,39,35.07,32.5,30,31.17,33,22.96,18,22.5,25,31.5,32,32,27.8,31.8,36.72,80.66,-13.4,-60.58
"Sugar, Refined",1 Kg,56.36,53.46,51.8,51.6,54.64,50.4,50,49.6,50.4,51.93,49.4,49.8,49.1,50.77,50,53.4,50,51.33,51.5,60.41,-0.33,-15.03
"Gur, Average Quality",1 Kg,109.38,98.33,70,80,84.29,65,70,56.5,57.5,83.96,80,55,52.5,82.5,82.5,90,80,76.32,78.55,84.21,-2.84,-9.37
"Salt Powder, Loose, Lahori",1 Kg,12,12,10,10,17,10,10,10,12,12,12,10,10,10,12,10,10,11.12,11.12,10.71,0,3.83
"Red Chilly Powder, Loose",1 Kg,301.13,263.84,240,240,261.86,258,280,235,225,295.48,265,250,240,241.67,227,310,290,260.23,257.75,266.68,0.96,-2.42
Garlic,1 Kg,227.75,197,157,157,167.86,166,176,164.67,167,177.54,160.75,163,127,191,176,198,192,174.45,172.04,300.49,1.4,-41.94
"Tea, Lipton Yellow Label, Packet",200 gm,194.74,194.74,194.74,194.74,194.74,194.74,194.74,194.74,195,194.74,192.78,191.57,194.73,194.74,194.73,188.41,182.1,193.34,184.07,195.96,5.04,-1.34
"Cooked Beef, Average Hotel",Plate,115,113.33,100,62.5,110.14,135,100,80,125,93.08,77.5,100,100,120,105,90,140,103.91,103.49,93.3,0.41,11.37
"Cooked Daal, Average Hotel",Plate,78.75,75.83,40,40,67.32,55,50,40,60,61.54,52.5,50,65,60,50,65,80,58.29,58.29,56.93,0,2.39
"Tea Prepared, Average Hotel",Cup,22.5,22.5,20,20,20,22.5,20,20,22.5,21.73,20,25,27.5,15,20,21,20,21.19,21.19,20.6,0,2.86
"Cigarettes, K-2, 20's",Packet,50,50,50,50,50,50,50,50,48,55,50,50,50,55,55,50,50,50.76,50.76,67.24,0,-24.51
"Long Cloth, 57"", (SN)",1 mtr,225,215,137.5,135,267.5,237.5,245,250,180,180,240,230,200,333.33,157.5,210,195,214.02,214.02,205.57,0,4.11
"Shirting, (AQ), (SN)",1 mtr,216.88,205,175,175,155,125,150,210,115,166.15,140,120,157.5,300,147.5,160,190,171.06,171.06,164.3,0,4.11
"Lawn Printed, (SN)",1 mtr,240,220,205,205,305,264,386.67,150,169,415,280,280,366.66,360,187.5,200,165,258.75,255.77,251.21,1.17,3
"Georgette, (AQ), (SN)",1 mtr,165,162.92,132.5,130,135,160,140,105,110,121.54,120,125,130,122,100,105,117.5,128.32,126.61,124.13,1.35,3.38
"Gents Sandal, Bata",Pair,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,0,0
"Gents Chappal Spng, Bata",Pair,179,179,179,179,179,179,179,179,179,180.54,179,179,179,179,179,179,179,179.09,179.09,179.09,0,0
"Ladies Sandal, Bata",Pair,499,499,499,499,499,499,499,499,549,506.69,499,499,499,499,499,499,499,502.39,502.39,502.39,0,0
"Elec. Charges, Upto 50 Units",Unit,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0
"Gas Charges, Upto 3.3719 MMBTU",MMBTU,128.7,128.7,128.7,128.7,128.7,128.7,128.7,128.7,128.7,128.7,128.7,128.7,128.7,128.7,128.7,128.7,,128.7,128.7,128.7,0,0
Kerosene Oil,1 Ltr,128.75,126.25,116,117,125,110,110,107.92,125,131.63,108,115,130,113.33,116,89,88,115.11,109.13,78.88,5.48,45.93
Firewood Whole,40 Kg,787.5,741.67,775,700,810.71,600,550,690,625,651.92,550,400,450,729.17,500,650,550,633,633,609.25,0,3.9
Energy Saver,Each,167.5,167.5,155,155,170,162.5,180,165,175,180,200,155,180,180,170,180,150,170.15,169.56,167.79,0.35,1.41
"Washing Soap, (Nylon), (SN)",Cake,25,25,16,20,40,25,40,22,20,14,29,26,30,20,22.5,30,40,26.15,25.91,25.91,0.93,0.93
"Match Box, Regular",Each,2,2,2,2,3,2.5,3,2,2.5,2,2,2.5,2.5,2,3,2,1.5,2.26,2.24,2.18,0.89,3.67
"Petrol, Super",1 Ltr,88.51,88.5,88.53,90.2,88.43,88.51,88.65,88.51,89.44,88.51,89.29,88.5,88.7,88.51,90.5,88.38,91.21,88.99,85.45,73.84,4.14,20.52
Hi Speed Diesel (HSD),1 Ltr,98.92,98.91,98.94,100.2,98.8,98.92,99.06,98.93,99.96,98.93,99.72,98.91,99.1,98.91,101,98.75,101.82,99.4,96.81,82.94,2.68,19.85
"LPG Cylinder, 11kg",Each,1308,1288,1067,1122,1100,1150,1080,1120,1210,1100,1210,1254,1331,1210,1125,1335,1220,1190,1308.6,1117.91,-9.06,6.45
Telephone Local Call,P/Call,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,0,0
"Soap, LifeBuoy",Each,38,38,40.4,40.4,38,42,42,38,38,38,37.2,38,40,38,40,42,42,39.41,39.65,38.94,-0.61,1.21
